TimeWindow,User,04_M,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,F1EBX_Cat,F2EBS_Cat,F3EBS_Cat,F4EBX_Cat,F5EEX_Cat,F6EES_Cat,F8EIX_Cat,F7EIS_Cat,F9EEX_Cat,F10ES_Cat,F11EX_Cat,F12ES_Cat,F13EV_Cat,F14EV_Cat,F15MS_Cat,F16MX_Cat,F17MH_Cat,F18MH_Cat,F19MH_Cat,F20MH_Cat
v3,p08,1,0.4,0.3,0.39920482,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.74321412,0.7,0.7,0.6,0.7,0.83302893,0.6,0.6,(0.69 - 0.73),(0.80 - 0.85),(0.56 - 0.62),(0.56 - 0.62),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.75911408,0.7,0.7,0.6,0.7,0.83496957,0.64038336,0.6,(0.69 - 0.73),(0.80 - 0.85),(0.56 - 0.62),(0.63 - 0.68),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.63809577,0.6,0.76312067,0.7,0.7,0.6,0.7,0.81824417,0.64871773,0.6,(0.69 - 0.73),(0.80 - 0.85),(0.56 - 0.62),(0.63 - 0.68),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.64538384,0.6,0.76286194,0.7,0.7,0.6,0.7,0.81458712,0.67712158,0.6,(0.69 - 0.73),(0.80 - 0.85),(0.56 - 0.62),(0.63 - 0.68),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.63968621,0.6,0.75363693,0.7,0.7,0.59904007,0.7,0.80503801,0.65069705,0.6,(0.69 - 0.73),(0.80 - 0.85),(0.56 - 0.62),(0.63 - 0.68),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.57314645,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.76871754,0.7,0.7,0.6,0.7,0.76929996,0.64674326,0.6,(0.69 - 0.73),(0.74 - 0.79),(0.56 - 0.62),(0.63 - 0.68),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.64290642,0.6,0.6,0.52862705,0.7,0.8,0.8,0.7,0.6,0.755095,0.7,0.7,0.6,0.7,0.70917586,0.58759128,0.6,(0.69 - 0.73),(0.69 - 0.73),(0.56 - 0.62),(0.56 - 0.62),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.65 - 0.72),(0.58 - 0.64),(0.58 - 0.64),(0.49 - 0.57),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6456114,0.6,0.6,0.55754717,0.7,0.8,0.8,0.7,0.6,0.73823477,0.7,0.7,0.6,0.7,0.7,0.59930495,0.6,(0.69 - 0.73),(0.69 - 0.73),(0.56 - 0.62),(0.56 - 0.62),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.65 - 0.72),(0.58 - 0.64),(0.58 - 0.64),(0.49 - 0.57),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.8,0.7,0.7,0.6,0.7,0.7,0.6,0.6,(0.69 - 0.73),(0.69 - 0.73),(0.56 - 0.62),(0.56 - 0.62),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
v3,p08,1,0.4,0.3,0.4,0.4,0.2,0.7,0.4,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.8,0.7,0.7,0.6,0.7,0.69214153,0.6,0.6,(0.69 - 0.73),(0.69 - 0.73),(0.56 - 0.62),(0.56 - 0.62),(0.58 - 0.64),(0.49 - 0.57),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.58 - 0.64),(0.65 - 0.72),(0.73 - 0.80),(0.73 - 0.80),(0.73 - 0.80),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.65 - 0.72),(0.56 - 0.64)
